id_libros,isbn,titulo,autor,leidom,leidoa,portada,resumen,categoria,fechapublicacion,editorial,paginas,comentario
1,9589617867,"Una mirada del pasado, una vision del futuro",EPM,FALSE,TRUE,img/UnaMiradaAlPasado.jpg,,,2000,,,
2,9789586541022,Vida de la santisima virgen,L. Sanz; E. Salesman ,FALSE,FALSE,img/9789586541022 .webp,A quien Dios quiere conceder una gran santidad le concede una gran devoción a la Virgen María.,,2013,,167,
3,9788484801658,La guia del prado,Museo Nacional de Prado,FALSE,FALSE,img/9788484801658.jpg,,,,,,
4,9789587578409,El quijote a lo paisa,Roberto Cadavid Misas -Argos,FALSE,TRUE,img/9789587578409.webp,,,,,,
5,,Un dia con mi osito,Ana Carolina Alvarez Builes,FALSE,FALSE,img/UnDiaConMiosito.jpg,A quien Dios quiere conceder una gran santidad le concede una gran devoción a la Virgen María.,,,,,
6,,El heroe del fultbol,Juan David Alvarez Builes,FALSE,FALSE,img/ElHeroeDelFutbol.jpg,,,,,,
7,9789584254221,Alguien tiene que llevar la contraria,Alejandro Gaviria,FALSE,FALSE,img/9789584254221.webp,,,,,,
8,9789584268297,Hoy es siempre todavia,Alejandro Gaviria,FALSE,FALSE,img/9789584268297.webp,,,,,,
9,9789584276858,Siguiera tenemos las palabras,Alejandro Gaviria,FALSE,FALSE,img/9789584276858.webp,,,,,,
10,9789584218902,El peregrino,Paulo Coelho,FALSE,FALSE,img/9789584218902.jpg,,,,,,
11,9586146189,El alquimista,Paulo Coelho,FALSE,FALSE,img/8065268-L.jpg,,,,,,
12,9789504919490,Maktub,Paulo Coelho,FALSE,FALSE,img/12328730-L.jpg,,,,,,
13,9586145417,A orillas del rio piedra me sente y llore,Paulo Coelho,FALSE,FALSE,img/9586145417.jpg,,,,,,
14,8479530138,El poder esta dentro de ti,Louise L .Hay,FALSE,FALSE,img/12778896-L.jpg,,,,,,
15,8486344654,Usted puede sanar su vida,Louise L .Hay,FALSE,FALSE,img/1048450-L.jpg,,,,,,
16,8486344913,Amate a ti mismo: cambia tu vida,Louise L .Hay,FALSE,FALSE,img/AmateATiMismo.jpg,,,,,,
17,9580464065,El perdon,Deepak Chopra,FALSE,FALSE,img/2292725-L.jpg,,,,,,
18,9580433720,El sendero del mago veinte leccions espirutuales para crear la vida que Usted desea,Deepak Chopra,FALSE,FALSE,img/ElSenderodelMago.jpg,,,,,,
19,8466609474,Almas gemelas,Deepak Chopra,FALSE,FALSE,img/10367072-L.jpg,,,,,,
20,950151532-x,Vida sin condiciones,Deepak Chopra,FALSE,FALSE,img/VidaSinCondiciones.jpg,,,,,,
21,9580431698,Las siete leyes espiriruales del exito,Deepak Chopra,FALSE,FALSE,img/LasSieteLeyesEspirituales.jpg,,,,,,
22,9580440794,Las siete leyes espiriruales para padres,Deepak Chopra,FALSE,FALSE,img/5240107-L.jpg,,,,,,
23,9789584243171,Caos,Keri Smith,FALSE,FALSE,img/Caos.jpg,,,,,,
24,9580446997,Lastima que estaba muerto,Margarita Maine L,FALSE,FALSE,img/LastimaEstabaMuerto.jpg,,,,,,
25,8427015321,Do-In El milenario arte chino de la curacion,"Juracy, Cancado Campos",FALSE,FALSE,img/11874743485188.jpg,,,,,,
26,9789589983928,Manual de urbanidad y buenas maneras,Manuel Antonio Carreño M,FALSE,FALSE,img/20260302_122131.jpg,,,,,,
27,958301391-X,El arte de la querra del maestro Sun Fzu,Sun Fzu,FALSE,FALSE,img/ElArteGuerra.webp,,,,,,
28,8434581450,Freud (1),Ernest Jones,FALSE,FALSE,,,,,,,
29,958639008-X,Tus zonas erroneas,Wayne W. Dyer,FALSE,FALSE,img/TusZonasErroneas.jpg,,,,,,
